respondent_id,age,gender,state,location_type,family_income,education_level,stream,board,academic_performance,career_clarity,urgency,decision_maker,primary_info_source,past_career_spend,career_domain_interest,preferred_feature,motivation,fear_score,risk_score,wtp_monthly,wtp_onetime,platform_adoption,persona_label
R0015,20,Male,Andhra Pradesh,Tier-3,Below ₹2L,Undergraduate,Science PCM,CBSE,70–80%,Somewhat unclear,Within 3 months,Parents,Career Books,Coaching classes,Engineering/Tech,AI career roadmap,Family expectations,2,5,167.0,612.0,Yes,Anxious Achiever
R0016,19,Female,Rajasthan,Tier-3,,Working Professional,Vocational,State Board,80–90%,Somewhat unclear,3–6 months,Myself,Online Platforms,Career counsellor,Medicine/Healthcare,1-on-1 mentorship,Financial security,5,2,523.0,2126.0,No,Anxious Achiever
R0017,18,Female,Uttar Pradesh,Tier-2,₹5–10L,Class 11-12,Science PCM,State Board,80–90%,Very clear,1–2 years,Myself,Family/Friends,Exam prep material,Business/Management,Scholarship finder,Passion/Interest,4,2,403.0,1580.0,Yes,Focused Climber
R0018,20,Female,Uttar Pradesh,Tier-2,₹2–5L,Undergraduate,Commerce,CBSE,70–80%,Not clear at all,Within 3 months,Teachers/Counsellor,Online Platforms,Nothing,Business/Management,College matchmaking,Financial security,4,2,258.0,1262.0,No,Confused Drifter
R0019,24,Female,Uttar Pradesh,Metro,Above ₹20L,Working Professional,Not Applicable,CBSE,80–90%,Not clear at all,1–2 years,Teachers/Counsellor,School Counsellor,Online courses,Law,AI career roadmap,Financial security,4,4,477.0,1701.0,Yes,Confused Drifter
R0020,22,Male,Maharashtra,Rural,₹5–10L,Class 11-12,Arts/Humanities,State Board,70–80%,Not clear at all,6–12 months,Parents,Family/Friends,Nothing,Government/UPSC,College matchmaking,Family expectations,4,3,172.0,604.0,No,Passive Explorer
R0021,18,Male,Maharashtra,Tier-2,₹5–10L,Postgraduate,Not Applicable,State Board,70–80%,Not clear at all,More than 2 years,Myself,School Counsellor,Exam prep material,Engineering/Tech,1-on-1 mentorship,Family expectations,5,3,408.0,1730.0,Yes,Anxious Achiever
R0022,18,Female,Gujarat,Tier-2,₹2–5L,Undergraduate,Science PCB,State Board,Below 60%,Not clear at all,More than 2 years,Both equally,Family/Friends,Nothing,Education/Teaching,Entrance exam navigator,Family expectations,2,4,172.0,780.0,No,Passive Explorer
R0023,23,Female,Andhra Pradesh,Metro,Below ₹2L,Class 11-12,Arts/Humanities,Other,60–70%,Somewhat unclear,3–6 months,Teachers/Counsellor,Online Platforms,Career counsellor,Other,College matchmaking,Unclear,5,4,151.0,481.0,Yes,Anxious Achiever
R0024,22,Male,Uttar Pradesh,Tier-2,Below ₹2L,Working Professional,Commerce,CBSE,80–90%,Not clear at all,1–2 years,Myself,School Counsellor,Nothing,Education/Teaching,1-on-1 mentorship,Social status,5,2,93.0,412.0,No,Passive Explorer
R0025,21,Female,Bihar,Tier-3,₹2–5L,Class 11-12,Science PCM,CBSE,80–90%,Not clear at all,6–12 months,Teachers/Counsellor,Family/Friends,Coaching classes,Medicine/Healthcare,AI career roadmap,Unclear,5,1,180.0,730.0,No,Confused Drifter
R0026,19,Male,Maharashtra,Tier-3,₹2–5L,Class 9-10,Science PCM,CBSE,60–70%,Not clear at all,1–2 years,Myself,Family/Friends,Online courses,Engineering/Tech,AI career roadmap,Financial security,2,1,184.0,678.0,No,Passive Explorer
R0027,16,Male,Haryana,Metro,₹2–5L,Undergraduate,Arts/Humanities,CBSE,80–90%,Not clear at all,Within 3 months,Both equally,Social Media,Nothing,Government/UPSC,1-on-1 mentorship,Social status,3,2,263.0,1149.0,Yes,Confused Drifter
R0028,15,Male,Kerala,Tier-3,₹10–20L,Undergraduate,Commerce,CBSE,70–80%,Somewhat clear,Within 3 months,Parents,Family/Friends,Nothing,Government/UPSC,Entrance exam navigator,Family expectations,3,2,438.0,1448.0,Yes,Career Switcher
R0029,16,Male,Haryana,Tier-3,₹10–20L,Class 11-12,Science PCM,CBSE,70–80%,Somewhat unclear,3–6 months,Parents,Career Books,Online courses,Engineering/Tech,Scholarship finder,Financial security,3,1,387.0,1115.0,Yes,Anxious Achiever
R0030,18,Prefer not to say,Madhya Pradesh,Metro,₹2–5L,Working Professional,Vocational,ICSE,60–70%,Somewhat unclear,6–12 months,Teachers/Counsellor,School Counsellor,Online courses,Arts/Design,AI career roadmap,Passion/Interest,3,2,292.0,934.0,No,Anxious Achiever
R0031,17,Female,Rajasthan,Metro,₹5–10L,Undergraduate,Science PCM,CBSE,60–70%,Very clear,Within 3 months,Both equally,YouTube,Coaching classes,Education/Teaching,Skill assessment,Passion/Interest,4,4,589.0,2642.0,Yes,Focused Climber
R0032,23,Female,Maharashtra,Metro,₹10–20L,Postgraduate,Arts/Humanities,ICSE,80–90%,Somewhat unclear,Within 3 months,Both equally,Social Media,Coaching classes,Government/UPSC,1-on-1 mentorship,Family expectations,4,3,468.0,1858.0,Yes,Anxious Achiever
R0033,18,Male,Rajasthan,Tier-2,Below ₹2L,Class 11-12,Commerce,State Board,70–80%,Very clear,6–12 months,Myself,Social Media,Online courses,Business/Management,Entrance exam navigator,Financial security,4,5,296.0,1478.0,Yes,Focused Climber
R0034,16,Male,Andhra Pradesh,Tier-2,₹5–10L,Undergraduate,Commerce,State Board,70–80%,Somewhat clear,1–2 years,Myself,School Counsellor,Online courses,Business/Management,1-on-1 mentorship,Passion/Interest,4,5,437.0,1875.0,Yes,Career Switcher
R0035,23,Male,Tamil Nadu,Metro,₹2–5L,Undergraduate,Commerce,CBSE,Above 90%,Very clear,Within 3 months,Both equally,Online Platforms,Online courses,Government/UPSC,1-on-1 mentorship,Passion/Interest,2,3,395.0,1171.0,Yes,Focused Climber
R0036,21,Female,Uttar Pradesh,Metro,₹5–10L,Postgraduate,Not Applicable,State Board,70–80%,Not clear at all,1–2 years,Myself,Social Media,Nothing,Business/Management,AI career roadmap,Family expectations,1,2,282.0,1112.0,No,Confused Drifter
R0037,24,Male,Other,Tier-2,₹10–20L,Undergraduate,Science PCM,CBSE,70–80%,Somewhat unclear,3–6 months,Both equally,Family/Friends,Online courses,Business/Management,1-on-1 mentorship,Passion/Interest,4,3,399.0,1832.0,Yes,Anxious Achiever
R0038,16,Male,Maharashtra,Metro,₹10–20L,Class 11-12,Vocational,State Board,80–90%,Somewhat clear,1–2 years,Both equally,Family/Friends,Online courses,Arts/Design,Skill assessment,Passion/Interest,3,4,602.0,1887.0,Yes,Career Switcher
R0039,21,Prefer not to say,Haryana,Tier-3,₹10–20L,Working Professional,Not Applicable,CBSE,70–80%,Very clear,Within 3 months,Both equally,Online Platforms,Career counsellor,Engineering/Tech,Scholarship finder,Passion/Interest,2,5,591.0,2823.0,Yes,Focused Climber
R0040,18,Female,Rajasthan,Metro,Above ₹20L,Postgraduate,Science PCM,State Board,Above 90%,Somewhat clear,Within 3 months,Parents,Family/Friends,Career counsellor,Engineering/Tech,Skill assessment,Passion/Interest,2,4,715.0,3037.0,Yes,Career Switcher
R0041,21,Male,West Bengal,Tier-3,₹5–10L,Class 9-10,Science PCB,State Board,80–90%,Very clear,Within 3 months,Parents,YouTube,Career counsellor,Medicine/Healthcare,1-on-1 mentorship,Social status,4,3,444.0,1659.0,Yes,Focused Climber
R0042,16,Female,Tamil Nadu,Metro,₹10–20L,Class 11-12,Not Applicable,State Board,80–90%,Not clear at all,6–12 months,Teachers/Counsellor,YouTube,Coaching classes,Science Research,AI career roadmap,Family expectations,3,4,346.0,1098.0,No,Confused Drifter
R0043,18,Male,Maharashtra,Tier-2,₹10–20L,Undergraduate,Science PCB,CBSE,Below 60%,Somewhat clear,Within 3 months,Both equally,Family/Friends,Nothing,Law,College matchmaking,Family expectations,5,3,440.0,1304.0,Yes,Anxious Achiever
R0044,19,Male,Maharashtra,Rural,Above ₹20L,Class 9-10,Arts/Humanities,IB,60–70%,Not clear at all,More than 2 years,Myself,School Counsellor,Nothing,Education/Teaching,1-on-1 mentorship,Unclear,5,2,386.0,1857.0,No,Confused Drifter
R0045,19,Male,Other,Metro,Below ₹2L,Undergraduate,Science PCB,State Board,Below 60%,Not clear at all,1–2 years,Both equally,Family/Friends,Coaching classes,Medicine/Healthcare,Scholarship finder,Unclear,5,1,186.0,573.0,Yes,Confused Drifter
R0046,18,Female,West Bengal,Tier-2,₹5–10L,Undergraduate,Vocational,Other,80–90%,Not clear at all,1–2 years,Both equally,YouTube,Nothing,Engineering/Tech,Skill assessment,Financial security,3,1,227.0,769.0,No,Passive Explorer
R0047,20,Male,Uttar Pradesh,Rural,₹10–20L,Class 9-10,Science PCB,ICSE,Above 90%,Somewhat unclear,6–12 months,Myself,Career Books,Coaching classes,Medicine/Healthcare,Entrance exam navigator,Financial security,4,1,381.0,1531.0,Yes,Anxious Achiever
R0048,24,Female,Uttar Pradesh,Rural,Above ₹20L,Class 11-12,Science PCB,State Board,80–90%,Not clear at all,More than 2 years,Myself,YouTube,Coaching classes,Medicine/Healthcare,Scholarship finder,Passion/Interest,2,4,382.0,1521.0,No,Confused Drifter
R0049,21,Female,Karnataka,Tier-2,Below ₹2L,Class 11-12,Science PCB,CBSE,80–90%,Not clear at all,3–6 months,Myself,School Counsellor,Nothing,Business/Management,AI career roadmap,Family expectations,4,1,120.0,444.0,No,Passive Explorer
R0050,20,Female,Uttar Pradesh,Rural,₹10–20L,Postgraduate,Arts/Humanities,State Board,80–90%,Somewhat clear,Within 3 months,Both equally,Social Media,Nothing,Education/Teaching,Scholarship finder,Financial security,3,5,467.0,2132.0,Yes,Career Switcher
R0051,17,Female,West Bengal,Rural,₹5–10L,Class 11-12,Commerce,State Board,80–90%,Not clear at all,1–2 years,Parents,Social Media,Nothing,Finance/Banking,AI career roadmap,Passion/Interest,4,1,248.0,684.0,No,Confused Drifter
R0052,19,Male,West Bengal,Rural,Above ₹20L,Working Professional,Arts/Humanities,CBSE,80–90%,Somewhat clear,1–2 years,Parents,Online Platforms,Coaching classes,Education/Teaching,1-on-1 mentorship,Financial security,4,5,468.0,1171.0,Yes,Anxious Achiever
R0053,22,Female,Andhra Pradesh,Tier-2,Below ₹2L,Postgraduate,Not Applicable,CBSE,80–90%,Not clear at all,More than 2 years,Teachers/Counsellor,Online Platforms,Nothing,Arts/Design,1-on-1 mentorship,Family expectations,3,4,129.0,556.0,No,Confused Drifter
R0054,17,Male,Tamil Nadu,Metro,₹5–10L,Undergraduate,Science PCM,ICSE,70–80%,Not clear at all,More than 2 years,Myself,Family/Friends,Nothing,Engineering/Tech,College matchmaking,Financial security,3,2,262.0,1047.0,No,Confused Drifter
R0055,18,Prefer not to say,Uttar Pradesh,Metro,₹5–10L,Undergraduate,Science PCB,Other,80–90%,Very clear,6–12 months,Teachers/Counsellor,Social Media,Career counsellor,Medicine/Healthcare,Entrance exam navigator,Passion/Interest,1,4,498.0,1373.0,Yes,Focused Climber
R0056,19,Female,Other,Metro,₹10–20L,Class 11-12,Science PCB,Other,60–70%,Not clear at all,More than 2 years,Myself,School Counsellor,Exam prep material,Medicine/Healthcare,Scholarship finder,Family expectations,4,3,399.0,1121.0,No,Confused Drifter
R0057,21,Female,Rajasthan,Tier-2,₹5–10L,Undergraduate,Commerce,ICSE,70–80%,Very clear,6–12 months,Myself,YouTube,Coaching classes,Business/Management,Skill assessment,Social status,3,4,439.0,1964.0,Yes,Focused Climber
R0058,17,Female,Madhya Pradesh,Metro,Below ₹2L,Class 11-12,Commerce,ICSE,80–90%,Very clear,3–6 months,Parents,Family/Friends,Exam prep material,Law,Scholarship finder,Social status,3,3,294.0,764.0,Yes,Focused Climber
R0059,17,Female,Uttar Pradesh,Rural,₹2–5L,Undergraduate,Commerce,State Board,60–70%,Somewhat unclear,1–2 years,Myself,YouTube,Exam prep material,Business/Management,College matchmaking,Passion/Interest,5,2,241.0,899.0,Yes,Anxious Achiever
R0060,24,Male,Karnataka,Tier-3,,Postgraduate,Science PCM,Other,70–80%,Somewhat unclear,Within 3 months,Myself,Family/Friends,Coaching classes,Engineering/Tech,AI career roadmap,Social status,4,3,236.0,1079.0,Yes,Anxious Achiever
R0061,20,Male,Uttar Pradesh,Tier-3,,Undergraduate,Vocational,CBSE,60–70%,Very clear,Within 3 months,Parents,Social Media,Nothing,Other,Skill assessment,Financial security,3,1,546.0,2640.0,Yes,Focused Climber
R0062,20,Female,Bihar,Tier-2,₹5–10L,Undergraduate,Commerce,CBSE,Below 60%,Not clear at all,More than 2 years,Myself,School Counsellor,Exam prep material,Finance/Banking,Scholarship finder,Financial security,3,4,169.0,462.0,No,Passive Explorer
R0063,19,Female,Tamil Nadu,Rural,₹5–10L,Class 9-10,Not Applicable,State Board,80–90%,Very clear,6–12 months,Parents,School Counsellor,Coaching classes,Business/Management,Entrance exam navigator,Passion/Interest,4,5,430.0,1916.0,Yes,Focused Climber
R0064,21,Male,Telangana,Tier-3,Below ₹2L,Undergraduate,Science PCM,CBSE,70–80%,Somewhat clear,6–12 months,Parents,Family/Friends,Coaching classes,Business/Management,1-on-1 mentorship,Passion/Interest,1,4,203.0,697.0,Yes,Career Switcher
R0065,19,Male,Telangana,Metro,₹2–5L,Class 11-12,Science PCB,State Board,70–80%,Not clear at all,More than 2 years,Both equally,Online Platforms,Exam prep material,Medicine/Healthcare,AI career roadmap,Financial security,5,2,168.0,809.0,Yes,Passive Explorer
R0066,21,Male,Karnataka,Tier-2,,Undergraduate,Science PCM,CBSE,60–70%,Somewhat unclear,6–12 months,Myself,Family/Friends,Career counsellor,Government/UPSC,College matchmaking,Passion/Interest,4,5,352.0,974.0,Yes,Anxious Achiever
R0067,24,Female,Bihar,Tier-3,₹10–20L,Class 11-12,Science PCM,State Board,70–80%,Very clear,1–2 years,Parents,YouTube,Career counsellor,Business/Management,AI career roadmap,Passion/Interest,1,4,574.0,2043.0,Yes,Focused Climber
R0068,17,Male,Maharashtra,Metro,₹5–10L,Undergraduate,Commerce,CBSE,70–80%,Not clear at all,1–2 years,Relatives,YouTube,Coaching classes,Business/Management,AI career roadmap,Unclear,4,3,203.0,713.0,No,Passive Explorer
R0069,17,Male,Haryana,Metro,₹10–20L,Class 11-12,Science PCB,CBSE,70–80%,Not clear at all,6–12 months,Both equally,YouTube,Online courses,Medicine/Healthcare,1-on-1 mentorship,Financial security,3,2,691.0,2902.0,Yes,Focused Climber
R0070,18,Female,Uttar Pradesh,Metro,Above ₹20L,Undergraduate,Arts/Humanities,CBSE,70–80%,Somewhat unclear,1–2 years,Myself,Family/Friends,Exam prep material,Government/UPSC,Entrance exam navigator,Financial security,3,5,552.0,2035.0,Yes,Anxious Achiever
R0071,16,Male,Uttar Pradesh,Tier-3,₹10–20L,Undergraduate,Commerce,CBSE,Below 60%,Very clear,Within 3 months,Parents,Family/Friends,Coaching classes,Finance/Banking,College matchmaking,Financial security,5,5,552.0,2519.0,Yes,Focused Climber
R0072,19,Male,Kerala,Tier-2,₹5–10L,Undergraduate,Commerce,State Board,60–70%,Somewhat unclear,1–2 years,Parents,YouTube,Coaching classes,Law,1-on-1 mentorship,Passion/Interest,5,5,292.0,893.0,No,Anxious Achiever
R0073,23,Female,Maharashtra,Tier-2,Above ₹20L,Postgraduate,Commerce,CBSE,70–80%,Not clear at all,3–6 months,Myself,Online Platforms,Nothing,Government/UPSC,1-on-1 mentorship,Financial security,5,1,452.0,2120.0,Yes,Confused Drifter
R0074,17,Male,Other,Tier-2,₹10–20L,Undergraduate,Science PCB,State Board,60–70%,Very clear,Within 3 months,Myself,School Counsellor,Coaching classes,Business/Management,College matchmaking,Passion/Interest,4,4,615.0,2321.0,No,Focused Climber
R0075,22,Male,Tamil Nadu,Metro,₹2–5L,Class 11-12,Arts/Humanities,State Board,80–90%,Somewhat unclear,3–6 months,Parents,Online Platforms,Coaching classes,Business/Management,AI career roadmap,Financial security,5,3,208.0,842.0,Yes,Confused Drifter
R0076,20,Male,Uttar Pradesh,Tier-2,Below ₹2L,Class 11-12,Vocational,CBSE,80–90%,Not clear at all,1–2 years,Both equally,Family/Friends,Exam prep material,Engineering/Tech,AI career roadmap,Family expectations,4,4,179.0,507.0,Yes,Confused Drifter
R0077,21,Female,Maharashtra,Tier-2,₹2–5L,Undergraduate,Science PCM,ICSE,70–80%,Not clear at all,3–6 months,Relatives,Family/Friends,Nothing,Science Research,Skill assessment,Social status,4,2,249.0,688.0,Yes,Confused Drifter
R0078,18,Male,Uttar Pradesh,Tier-2,₹10–20L,Class 9-10,Science PCB,CBSE,70–80%,Somewhat clear,1–2 years,Myself,Career Books,Online courses,Medicine/Healthcare,Skill assessment,Unclear,2,2,524.0,1324.0,Yes,Career Switcher
R0079,18,Male,Karnataka,Tier-2,Above ₹20L,Undergraduate,Commerce,CBSE,Below 60%,Not clear at all,1–2 years,Myself,Family/Friends,Coaching classes,Other,College matchmaking,Financial security,4,2,399.0,1271.0,No,Confused Drifter
R0080,17,Female,Tamil Nadu,Tier-3,₹2–5L,Working Professional,Arts/Humanities,State Board,60–70%,Very clear,1–2 years,Relatives,Social Media,Nothing,Arts/Design,Scholarship finder,Passion/Interest,4,3,133.0,387.0,Yes,Passive Explorer
R0081,19,Male,Rajasthan,Tier-2,₹5–10L,Undergraduate,Vocational,State Board,80–90%,Somewhat unclear,3–6 months,Myself,YouTube,Career counsellor,Business/Management,Entrance exam navigator,Financial security,5,3,379.0,1141.0,Yes,Anxious Achiever
R0082,21,Male,Telangana,Tier-3,₹2–5L,Working Professional,Science PCB,CBSE,60–70%,Not clear at all,More than 2 years,Relatives,Family/Friends,Nothing,Law,AI career roadmap,Passion/Interest,4,2,182.0,784.0,No,Confused Drifter
R0083,21,Male,Karnataka,Tier-3,₹5–10L,Undergraduate,Science PCM,State Board,80–90%,Somewhat unclear,6–12 months,Both equally,Online Platforms,Coaching classes,Government/UPSC,1-on-1 mentorship,Social status,4,4,306.0,824.0,Yes,Anxious Achiever
R0084,18,Male,Maharashtra,Metro,₹2–5L,Undergraduate,Arts/Humanities,Other,Above 90%,Not clear at all,6–12 months,Both equally,Online Platforms,Nothing,Business/Management,1-on-1 mentorship,Social status,4,2,277.0,976.0,No,Confused Drifter
R0085,15,Female,Karnataka,Tier-2,₹5–10L,Class 11-12,Not Applicable,CBSE,70–80%,Not clear at all,More than 2 years,Myself,Online Platforms,Coaching classes,Government/UPSC,AI career roadmap,Family expectations,4,2,237.0,640.0,No,Confused Drifter
R0086,21,Female,West Bengal,Rural,Below ₹2L,Class 9-10,Science PCB,CBSE,60–70%,Not clear at all,3–6 months,Parents,Online Platforms,Nothing,Education/Teaching,AI career roadmap,Financial security,4,1,136.0,604.0,Yes,Confused Drifter
R0087,18,Female,Maharashtra,Metro,₹5–10L,Working Professional,Commerce,Other,Below 60%,Somewhat unclear,Within 3 months,Both equally,Career Books,Coaching classes,Business/Management,AI career roadmap,Financial security,5,3,341.0,1334.0,Yes,Anxious Achiever
R0088,22,Female,Kerala,Tier-2,Below ₹2L,Postgraduate,Arts/Humanities,CBSE,80–90%,Not clear at all,Within 3 months,Parents,Family/Friends,Nothing,Government/UPSC,1-on-1 mentorship,Passion/Interest,4,2,179.0,871.0,No,Confused Drifter
R0089,21,Male,Tamil Nadu,Metro,₹10–20L,Class 11-12,Science PCM,CBSE,70–80%,Somewhat unclear,3–6 months,Myself,Social Media,Exam prep material,Medicine/Healthcare,Scholarship finder,Financial security,5,1,475.0,1723.0,No,Anxious Achiever
R0090,16,Female,Haryana,Tier-3,₹2–5L,Postgraduate,Not Applicable,CBSE,70–80%,Somewhat unclear,6–12 months,Both equally,School Counsellor,Career counsellor,Government/UPSC,1-on-1 mentorship,Social status,4,1,260.0,907.0,No,Anxious Achiever
R0091,17,Prefer not to say,Punjab,Metro,₹2–5L,Class 11-12,Vocational,State Board,60–70%,Not clear at all,1–2 years,Myself,Social Media,Online courses,Education/Teaching,1-on-1 mentorship,Financial security,4,2,192.0,681.0,No,Passive Explorer
R0092,19,Male,Telangana,Tier-3,₹10–20L,Class 9-10,Arts/Humanities,CBSE,Above 90%,Not clear at all,1–2 years,Both equally,Family/Friends,Coaching classes,Law,AI career roadmap,Family expectations,4,2,316.0,1439.0,No,Confused Drifter
R0093,16,Male,Uttar Pradesh,Metro,₹2–5L,Undergraduate,Arts/Humanities,State Board,80–90%,Somewhat clear,1–2 years,Parents,Career Books,Online courses,Law,Scholarship finder,Family expectations,1,3,354.0,1173.0,No,Career Switcher
R0094,20,Male,Andhra Pradesh,Tier-2,₹2–5L,Class 9-10,Science PCB,State Board,Above 90%,Very clear,6–12 months,Both equally,School Counsellor,Coaching classes,Medicine/Healthcare,Scholarship finder,Passion/Interest,3,2,352.0,1678.0,Yes,Focused Climber
R0095,24,Male,Telangana,Tier-2,,Undergraduate,Not Applicable,CBSE,Above 90%,Somewhat unclear,1–2 years,Both equally,Online Platforms,Nothing,Engineering/Tech,AI career roadmap,Passion/Interest,3,3,231.0,740.0,No,Anxious Achiever
R0096,18,Female,Maharashtra,Tier-2,₹2–5L,Undergraduate,Science PCM,IB,Above 90%,Somewhat unclear,3–6 months,Both equally,YouTube,Nothing,Finance/Banking,1-on-1 mentorship,Unclear,2,3,256.0,793.0,No,Anxious Achiever
R0097,19,Male,Madhya Pradesh,Metro,Above ₹20L,Undergraduate,Arts/Humanities,ICSE,80–90%,Somewhat clear,3–6 months,Parents,Family/Friends,Career counsellor,Law,College matchmaking,Social status,4,4,713.0,2573.0,Yes,Career Switcher
R0098,19,Female,Other,Rural,₹5–10L,Undergraduate,Commerce,State Board,Below 60%,Somewhat unclear,3–6 months,Parents,YouTube,Nothing,Government/UPSC,1-on-1 mentorship,Financial security,4,2,296.0,945.0,No,Anxious Achiever
R0099,15,Male,Tamil Nadu,Metro,Below ₹2L,Class 11-12,Science PCB,ICSE,80–90%,Somewhat unclear,Within 3 months,Teachers/Counsellor,Family/Friends,Nothing,Science Research,AI career roadmap,Social status,5,2,198.0,666.0,Yes,Anxious Achiever
R0100,18,Male,Maharashtra,Rural,₹10–20L,Undergraduate,Science PCB,ICSE,Above 90%,Somewhat unclear,Within 3 months,Both equally,YouTube,Coaching classes,Medicine/Healthcare,1-on-1 mentorship,Passion/Interest,5,1,384.0,1017.0,Yes,Anxious Achiever
R0101,21,Male,Gujarat,Metro,₹2–5L,Working Professional,Commerce,State Board,70–80%,Somewhat unclear,Within 3 months,Both equally,Social Media,Online courses,Engineering/Tech,1-on-1 mentorship,Financial security,2,3,311.0,871.0,No,Anxious Achiever
R0102,19,Male,Karnataka,Metro,₹5–10L,Class 11-12,Arts/Humanities,State Board,Above 90%,Somewhat unclear,3–6 months,Both equally,YouTube,Coaching classes,Science Research,1-on-1 mentorship,Family expectations,5,4,393.0,1758.0,Yes,Anxious Achiever
R0103,18,Female,Tamil Nadu,Tier-3,₹5–10L,Class 11-12,Science PCM,State Board,60–70%,Very clear,Within 3 months,Myself,YouTube,Online courses,Engineering/Tech,1-on-1 mentorship,Passion/Interest,2,4,381.0,1021.0,Yes,Focused Climber
R0104,20,Male,Telangana,Tier-2,Below ₹2L,Undergraduate,Not Applicable,CBSE,Below 60%,Very clear,3–6 months,Parents,Family/Friends,Nothing,Law,1-on-1 mentorship,Passion/Interest,5,2,240.0,893.0,Yes,Anxious Achiever
R0105,16,Female,Punjab,Metro,Below ₹2L,Working Professional,Arts/Humanities,Other,70–80%,Somewhat unclear,Within 3 months,Myself,Online Platforms,Coaching classes,Arts/Design,AI career roadmap,Family expectations,5,2,241.0,709.0,Yes,Anxious Achiever
R0106,17,Female,Bihar,Metro,₹10–20L,Undergraduate,Science PCB,CBSE,80–90%,Not clear at all,More than 2 years,Myself,Social Media,Coaching classes,Medicine/Healthcare,AI career roadmap,Passion/Interest,4,2,311.0,1483.0,Yes,Passive Explorer
R0107,16,Female,Maharashtra,Tier-2,Below ₹2L,Working Professional,Not Applicable,State Board,60–70%,Somewhat unclear,3–6 months,Parents,Family/Friends,Online courses,Law,1-on-1 mentorship,Family expectations,4,3,150.0,602.0,No,Anxious Achiever
